2018-05-05 22:24:42:714  INFO : ------------BUILD APPLICATION CT SCANMASTER-------------
2018-05-05 22:24:42:715  INFO : "ActuatorWidget : creating widget"
2018-05-05 22:24:43:010  INFO : "ScanWidget : creating widget"
2018-05-05 22:24:43:022  INFO : "ScatterWidget : creating graph"
2018-05-05 22:24:43:368  DEBUG : OpenGL version: 4.6.0 NVIDIA 388.13
2018-05-05 22:24:43:368  DEBUG : GLSL version: 4.60 NVIDIA
2018-05-05 22:24:43:429  INFO : "ScatterWidget : axis 0 range set: -10 - 10"
2018-05-05 22:24:43:429  INFO : "ScatterWidget : grid 0 main: 10 sub: 5"
2018-05-05 22:24:43:429  INFO : "ScatterWidget : axis 1 range set: -10 - 10"
2018-05-05 22:24:43:429  INFO : "ScatterWidget : grid 1 main: 10 sub: 5"
2018-05-05 22:24:43:429  INFO : "ScatterWidget : axis 2 range set: -10 - 10"
2018-05-05 22:24:43:429  INFO : "ScatterWidget : grid 2 main: 10 sub: 5"
2018-05-05 22:24:43:429  INFO : "ScatterWidget : " setPointSize
2018-05-05 22:24:43:442  INFO : ------------STARTING CT SCANMASTER 2018 V1.0------------
2018-05-05 22:24:43:442  INFO : "ScanClientGui : buildArrayTab"
2018-05-05 22:24:43:443  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:445  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:447  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:449  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:450  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:452  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:454  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:456  INFO : "ArrayWidget : creating widget"
2018-05-05 22:24:43:457  WARNING : QObject::connect: No such signal ArrayWidget::sourceSetSignalMask(quint8) in ..\ScanClientGui\scanclientgui.cpp:208
2018-05-05 22:24:43:458  WARNING : QObject::connect:  (receiver name: 'ScanClientGui')
2018-05-05 22:24:43:458  INFO : "ScanClientGui : buildTcpClient"
2018-05-05 22:24:43:458  INFO : "SocketHandler : starting"
2018-05-05 22:24:43:458  INFO : "TcpClient : starting"
2018-05-05 22:24:43:461  INFO : "SocketHandler : handleRetreiveIpAddress: " "169.254.78.233"
2018-05-05 22:24:43:461  INFO : "TcpClient : m_autoReconnectTime: " 5000
2018-05-05 22:24:43:461  INFO : "TcpClient : CLIENT IP: 169.254.78.233 READY"
2018-05-05 22:24:43:463  INFO : "SocketHandler : handleRetreiveIpAddress: " "169.254.78.233"
2018-05-05 22:24:43:464  INFO : "ScanClientGui : buildActuatorControl"
2018-05-05 22:24:43:464  INFO : "ScatterWidget : axis 0 range set: 0 - 15"
2018-05-05 22:24:43:464  INFO : "ScatterWidget : axis 1 range set: 0 - 6"
2018-05-05 22:24:43:464  INFO : "ScatterWidget : axis 2 range set: 0 - 5"
2018-05-05 22:24:43:464  INFO : ********************************************************
2018-05-05 22:24:43:465  INFO : Number of sensors:   8
2018-05-05 22:24:43:465  INFO : Number of sources:   8
2018-05-05 22:24:43:465  INFO : PixelWidth:          255
2018-05-05 22:24:43:465  INFO : InnerDiameter:       70
2018-05-05 22:24:43:465  INFO : OuterDiameter:       140
2018-05-05 22:24:43:465  INFO : X offset:            63
2018-05-05 22:24:43:466  INFO : Y offset:            63
2018-05-05 22:24:43:466  INFO : Sensordistance:      28
2018-05-05 22:24:43:466  INFO : Sourcedistance:      28
2018-05-05 22:24:43:466  INFO : DiameterRatio:       2
2018-05-05 22:24:43:466  INFO : CanvasSize:          510
2018-05-05 22:24:44:982  INFO : "ScanClientGui : tcpConnect"
2018-05-05 22:24:44:986  INFO : "SocketHandler : hanldeSocketState: lookup state"
2018-05-05 22:24:44:987  INFO : "TcpClient : displaySocketState: autoreconnect"
2018-05-05 22:24:44:987  INFO : "SocketHandler : hanldeSocketState: connecting"
2018-05-05 22:24:44:991  INFO : "TcpClient : connectToHost IP: 192.168.1.100 PORT: 5010"
2018-05-05 22:24:44:992  INFO : "SocketHandler : hanldeSocketState: connected"
2018-05-05 22:24:45:088  INFO : "SocketHandler : handleReceiveData: received 132 bytes from 192.168.1.100"
2018-05-05 22:24:45:089  WARNING : *************************START*****************************************
2018-05-05 22:24:45:153  WARNING : *************************TIME*****************************************
2018-05-05 22:24:45:154  WARNING : 65
2018-05-05 22:24:45:154  WARNING : *************************STOP*****************************************
2018-05-05 22:24:45:188  INFO : "SocketHandler : handleReceiveData: received 132 bytes from 192.168.1.100"
2018-05-05 22:24:45:189  WARNING : *************************START*****************************************
2018-05-05 22:24:45:253  WARNING : *************************TIME*****************************************
2018-05-05 22:24:45:254  WARNING : 65
2018-05-05 22:24:45:254  WARNING : *************************STOP*****************************************
2018-05-05 22:24:45:289  INFO : "SocketHandler : handleReceiveData: received 132 bytes from 192.168.1.100"
2018-05-05 22:24:45:289  WARNING : *************************START*****************************************
2018-05-05 22:24:45:354  WARNING : *************************TIME*****************************************
2018-05-05 22:24:45:354  WARNING : 65
2018-05-05 22:24:45:355  WARNING : *************************STOP*****************************************
2018-05-05 22:24:45:389  INFO : "SocketHandler : handleReceiveData: received 132 bytes from 192.168.1.100"
2018-05-05 22:24:45:390  WARNING : *************************START*****************************************
2018-05-05 22:24:45:455  WARNING : *************************TIME*****************************************
2018-05-05 22:24:45:456  WARNING : 66
2018-05-05 22:24:45:456  WARNING : *************************STOP*****************************************
2018-05-05 22:24:45:489  INFO : "SocketHandler : handleReceiveData: received 132 bytes from 192.168.1.100"
2018-05-05 22:24:45:489  WARNING : *************************START*****************************************
2018-05-05 22:24:45:554  WARNING : *************************TIME*****************************************
2018-05-05 22:24:45:554  WARNING : 65
2018-05-05 22:24:45:555  WARNING : *************************STOP*****************************************
